freq_Hz,S11_dB,S21_dB
1.000000000000000000e+06,-3.319107017676377325e+01,1.618973731165964866e-02
5.374375000000000000e+06,-3.317083307770933231e+01,1.612852157278725496e-02
9.748750000000000000e+06,-3.312320243644595763e+01,1.598352508065517541e-02
1.412312500000000000e+07,-3.304908623261110279e+01,1.575532551913385801e-02
1.849750000000000000e+07,-3.294985176084179557e+01,1.544483122912069378e-02
2.287187500000000000e+07,-3.282724586194875371e+01,1.505327647645753053e-02
2.724625000000000000e+07,-3.268330045281540208e+01,1.458221503143218752e-02
3.162062500000000000e+07,-3.252023319520908018e+01,1.403351210181961843e-02
3.599500000000000000e+07,-3.234035212257911951e+01,1.340933467192352915e-02
4.036937500000000000e+07,-3.214597094271181277e+01,1.271214031026723229e-02
4.474375000000000000e+07,-3.193933917767863306e+01,1.194466451783021688e-02
4.911812500000000000e+07,-3.172258884410444324e+01,1.110990669753941611e-02
5.349250000000000000e+07,-3.149769738379528405e+01,1.021111483383948908e-02
5.786687500000000000e+07,-3.126646518571580202e+01,9.251768978166251614e-03
6.224125000000000000e+07,-3.103050528537981378e+01,8.235563642661213740e-03
6.661562500000000000e+07,-3.079124257575986690e+01,7.166389209767198842e-03
7.099000000000000000e+07,-3.054991996504298868e+01,6.048312470009041368e-03
7.536437500000000000e+07,-3.030760922679500879e+01,4.885556403681242180e-03
7.973875000000000000e+07,-3.006522469173055612e+01,3.682479324905309041e-03
8.411312500000000000e+07,-2.982353834704772666e+01,2.443553508257434188e-03
8.848750000000000000e+07,-2.958319529100524647e+01,1.173343418755891810e-03
9.286187500000000000e+07,-2.934472881372599673e+01,-1.235163336960874193e-04
9.723625000000000000e+07,-2.910857463343967666e+01,-1.442343195780528518e-03
1.016106250000000000e+08,-2.887508401385961321e+01,-2.778428909760840768e-03
1.059850000000000000e+08,-2.864453563137283254e+01,-4.127061674340896068e-03
1.103593750000000000e+08,-2.841714616018429140e+01,-5.483548114926521840e-03
1.147337500000000000e+08,-2.819307960923255862e+01,-6.843234954473127393e-03
1.191081250000000000e+08,-2.797245548517186364e+01,-8.201530280532786515e-03
1.234825000000000000e+08,-2.775535587806760418e+01,-9.553924308973367821e-03
1.278568750000000000e+08,-2.754183157621897493e+01,-1.089600955006299679e-02
1.322312500000000000e+08,-2.733190731791972183e+01,-1.222350028823926404e-02
1.366056250000000000e+08,-2.712558628405700034e+01,-1.353225129281920500e-02
1.409800000000000000e+08,-2.692285392843107061e+01,-1.481827568291226548e-02
1.453543750000000000e+08,-2.672368123405875195e+01,-1.607776187628243147e-02
1.497287500000000000e+08,-2.652802747452052756e+01,-1.730708955801317159e-02
1.541031250000000000e+08,-2.633584255026641330e+01,-1.850284461146619458e-02
1.584775000000000000e+08,-2.614706896111054135e+01,-1.966183296036798367e-02
1.628518750000000000e+08,-2.596164346812898671e+01,-2.078109327709634982e-02
1.672262500000000000e+08,-2.577949849094065371e+01,-2.185790851871190210e-02
1.716006250000000000e+08,-2.560056327990998781e+01,-2.288981625827506486e-02
1.759750000000000000e+08,-2.542476489715079424e+01,-2.387461778499284232e-02
1.803493750000000000e+08,-2.525202903527560139e+01,-2.481038595260261909e-02
1.847237500000000000e+08,-2.508228069856243536e+01,-2.569547176096272090e-02
1.890981250000000000e+08,-2.491544476753428583e+01,-2.652850966125207960e-02
1.934725000000000000e+08,-2.475144646479159150e+01,-2.730842158035037479e-02
1.978468750000000000e+08,-2.459021173724268650e+01,-2.803441966491090551e-02
2.022212500000000000e+08,-2.443166756757982583e+01,-2.870600775048827782e-02
2.065956250000000000e+08,-2.427574222589229080e+01,-2.932298156541529935e-02
2.109700000000000000e+08,-2.412236547064921055e+01,-2.988542768367350583e-02
2.153443750000000000e+08,-2.397146870687252118e+01,-3.039372124487627752e-02
2.197187500000000000e+08,-2.382298510813022219e+01,-3.084852246357578862e-02
2.240931250000000000e+08,-2.367684970796364041e+01,-3.125077195373605204e-02
2.284675000000000000e+08,-2.353299946550936994e+01,-3.160168489779580092e-02
2.328418750000000000e+08,-2.339137330934796566e+01,-3.190274409322033100e-02
2.372162500000000000e+08,-2.325191216300009245e+01,-3.215569191257807574e-02
2.415906250000000000e+08,-2.311455895496985846e+01,-3.236252121644093288e-02
2.459650000000000000e+08,-2.297925861579597040e+01,-3.252546526130534882e-02
2.503393750000000000e+08,-2.284595806419954300e+01,-3.264698664781238990e-02
2.547137500000000000e+08,-2.271460618410306864e+01,-3.272976535708394669e-02
2.590881250000000000e+08,-2.258515379402811618e+01,-3.277668592607594494e-02
2.634625000000000000e+08,-2.245755361015577378e+01,-3.279082381503950483e-02
2.678368750000000000e+08,-2.233176020414169827e+01,-3.277543102321753277e-02
2.722112500000000000e+08,-2.220772995661856442e+01,-3.273392101089566547e-02
2.765856250000000000e+08,-2.208542100718153023e+01,-3.266985298867525200e-02
2.809600000000000000e+08,-2.196479320153838444e+01,-3.258691563690684773e-02
2.853343750000000000e+08,-2.184580803640817948e+01,-3.248891032042437732e-02
2.897087500000000000e+08,-2.172842860267140352e+01,-3.237973386588902103e-02
2.940831250000000000e+08,-2.161261952720468571e+01,-3.226336097092506738e-02
2.984575000000000000e+08,-2.149834691377613538e+01,-3.214382631599255885e-02
3.028318750000000000e+08,-2.138557828332703536e+01,-3.202520645168402402e-02
3.072062500000000000e+08,-2.127428251392562686e+01,-3.191160153551942519e-02
3.115806250000000000e+08,-2.116442978064343450e+01,-3.180711699367337608e-02
3.159550000000000000e+08,-2.105599149557539107e+01,-3.171584518392932261e-02
3.203293750000000000e+08,-2.094894024820075273e+01,-3.164184713724602083e-02
3.247037500000000000e+08,-2.084324974626063565e+01,-3.158913445554499544e-02
3.290781250000000000e+08,-2.073889475731107268e+01,-3.156165144387061694e-02
3.334525000000000000e+08,-2.063585105109513762e+01,-3.156325755464223226e-02
3.378268750000000000e+08,-2.053409534286503657e+01,-3.159771022177419036e-02
3.422012500000000000e+08,-2.043360523777477056e+01,-3.166864816123453330e-02
3.465756250000000000e+08,-2.033435917645341817e+01,-3.177957521371061606e-02
3.509500000000000000e+08,-2.023633638186206340e+01,-3.193384480351660337e-02
3.553243750000000000e+08,-2.013951680752862572e+01,-3.213464508585973933e-02
