freq_Hz,Sdd11_re,Sdd11_im,Sdd21_re,Sdd21_im,Sdc11_re,Sdc11_im,Scc11_re,Scc11_im
2.500000000000000000e+08,1.135896540684325565e-02,6.732091425827622932e-02,9.845909958235127268e-01,-1.557218388505267059e-01,3.426090512942846743e-03,4.417717097302282375e-03,3.514842828164997657e-02,1.210223473428428537e-01
4.993750000000000000e+08,4.267107158136995704e-02,1.259426158921820027e-01,9.413621995556693545e-01,-3.023469733426439321e-01,8.216263614727449191e-03,3.242982078926846985e-03,1.119309395951031821e-01,2.001327280249274865e-01
7.487500000000000000e+08,8.881677541841065393e-02,1.710014802746295526e-01,8.752478942369649184e-01,-4.350455828150762705e-01,1.009330609253450244e-02,-5.355652947561435374e-04,1.993235701099882462e-01,2.388337261594337679e-01
9.981250000000000000e+08,1.443892245929188356e-01,1.996533338941484936e-01,7.913250399994669060e-01,-5.507352888067862384e-01,9.460826692135602609e-03,-4.118516516299262908e-03,2.845239374470281968e-01,2.460030816683466681e-01
1.247500000000000000e+09,2.038887117940553217e-01,2.108569263768262092e-01,6.946201642801375087e-01,-6.480473504907344751e-01,7.520921014980148922e-03,-6.704729928028566738e-03,3.610220704933206903e-01,2.280756562712295266e-01
1.496875000000000000e+09,2.622384295924896636e-01,2.052170359315892700e-01,5.895808021404089772e-01,-7.271225374789271889e-01,4.991629625601800430e-03,-8.362471711275198255e-03,4.242575237787136744e-01,1.903719860980082612e-01
1.746250000000000000e+09,3.151896113684078404e-01,1.845622420300774558e-01,4.796530031323087417e-01,-7.891146506871953292e-01,2.068668224973605786e-03,-9.322646326213712697e-03,4.706621403720127050e-01,1.379073525857123506e-01
1.995625000000000000e+09,3.594425512786202925e-01,1.514959068693629840e-01,3.671524961603983561e-01,-8.356059848827720460e-01,-1.446071690978323332e-03,-9.608394963707123787e-03,4.970689093073160092e-01,7.605173779766351283e-02
2.245000000000000000e+09,3.926070965376183275e-01,1.091076604279928169e-01,2.533928247062140482e-01,-8.680658540532054657e-01,-5.898009724568586618e-03,-8.635377111891242435e-03,5.008405294724025403e-01,1.201111001148094659e-02
2.494375000000000000e+09,4.132585085687375259e-01,6.083937749053732608e-02,1.391041550028632168e-01,-8.874391481319396924e-01,-1.086791508464064748e-02,-4.869136990394446612e-03,4.829872876274788340e-01,-4.361681840401389343e-02
2.743750000000000000e+09,4.211906776281023612e-01,1.005667531733823311e-02,2.508964871602989422e-02,-8.942773870685420956e-01,-1.354888809751033860e-02,2.782606944853961532e-03,4.543136287234800785e-01,-8.208373203446897581e-02
2.993125000000000000e+09,4.168633664431405372e-01,-4.084004179603692442e-02,-8.796507248464510709e-02,-8.895068578554878869e-01,-1.062447261105505837e-02,1.144424819972047168e-02,4.278114826838506080e-01,-1.098648204892695157e-01
