trace,band,mean_dB,max_dB
SE_S11,0-14 GHz,40.656456784880774,58.271402006756446
SE_S11,14-28 GHz,21.685254415874606,38.20296384731657
SE_S11,28-56 GHz,8.587954422227018,17.504715881428652
SE_S11,56-100 GHz,14.321911045301373,19.876852395963066
SE_S21,0-14 GHz,31.652708522964804,52.17682876604223
SE_S21,14-28 GHz,19.184331690317787,32.592136115956556
SE_S21,28-56 GHz,10.875096387825087,14.88566940599793
SE_S21,56-100 GHz,11.433868735392,36.761643030712904
SE_S31,0-14 GHz,62.805288722914575,78.40848813580126
SE_S31,14-28 GHz,42.73551126753341,78.43881849621096
SE_S31,28-56 GHz,17.418869312595856,27.120787386392152
SE_S31,56-100 GHz,23.641798587069523,55.49641464543488
SE_S13,0-14 GHz,56.30840316773452,80.01284315842474
SE_S13,14-28 GHz,41.53936782737977,71.43514356382283
SE_S13,28-56 GHz,17.6563130303366,29.425466165644195
SE_S13,56-100 GHz,24.479539530450953,55.28565077358226
