trace,band,mean_dB,max_dB,mean_dB_floored,mean_linear
Sdd11,0-14,3.768,13.178,3.753,0.0834
Sdd11,14-28,3.801,8.677,3.801,0.0989
Sdd11,28-56,6.797,11.939,6.797,0.1483
Sdd11,56-100,2.125,5.141,2.125,0.046
Sdd21,0-14,0.961,1.224,0.961,0.0936
Sdd21,14-28,1.08,1.495,1.08,0.0667
Sdd21,28-56,3.395,12.139,2.16,0.0398
Sdd21,56-100,14.097,39.162,5.263,0.0487
Scc11,0-14,1.137,3.504,1.137,0.0461
Scc11,14-28,2.972,5.897,2.972,0.1123
Scc11,28-56,3.703,6.993,3.703,0.098
Scc11,56-100,3.512,6.807,3.512,0.0609
Scd21,0-14,9.001,31.977,4.589,0.0344
Scd21,14-28,3.141,5.63,3.141,0.0253
Scd21,28-56,3.755,13.344,1.971,0.0153
Scd21,56-100,8.593,37.632,1.946,0.0231
