sim,pair,trace,band,mean_dB,mean_dB_floored,mean_linear,max_dB
sim_pkg_0017,1,Sdd11,0-14,2.843,2.825,0.0589,11.873
sim_pkg_0017,1,Sdd11,14-28,3.768,3.768,0.0961,8.342
sim_pkg_0017,1,Sdd11,28-56,4.78,4.78,0.1207,8.498
sim_pkg_0017,1,Sdd11,56-100,2.562,2.562,0.0506,10.174
sim_pkg_0017,1,Sdd21,0-14,0.962,0.962,0.0943,1.147
sim_pkg_0017,1,Sdd21,14-28,0.5,0.5,0.0389,1.196
sim_pkg_0017,1,Sdd21,28-56,2.84,1.842,0.0269,20.771
sim_pkg_0017,1,Sdd21,56-100,4.167,1.018,0.0111,16.021
sim_pkg_0017,2,Sdd11,0-14,3.768,3.753,0.0834,13.178
sim_pkg_0017,2,Sdd11,14-28,3.801,3.801,0.0989,8.677
sim_pkg_0017,2,Sdd11,28-56,6.797,6.797,0.1483,11.939
sim_pkg_0017,2,Sdd11,56-100,2.125,2.125,0.046,5.141
sim_pkg_0017,2,Sdd21,0-14,0.961,0.961,0.0936,1.224
sim_pkg_0017,2,Sdd21,14-28,1.08,1.08,0.0667,1.495
sim_pkg_0017,2,Sdd21,28-56,3.395,2.16,0.0398,12.139
sim_pkg_0017,2,Sdd21,56-100,14.097,5.263,0.0487,39.162
sim_pkg_0017,3,Sdd11,0-14,4.297,4.297,0.1019,11.406
sim_pkg_0017,3,Sdd11,14-28,4.175,4.175,0.1049,11.673
sim_pkg_0017,3,Sdd11,28-56,8.855,8.855,0.1622,16.469
sim_pkg_0017,3,Sdd11,56-100,1.359,1.359,0.0297,4.062
sim_pkg_0017,3,Sdd21,0-14,1.035,1.035,0.096,1.38
sim_pkg_0017,3,Sdd21,14-28,1.144,1.144,0.0615,2.2
sim_pkg_0017,3,Sdd21,28-56,1.012,1.002,0.0152,4.733
sim_pkg_0017,3,Sdd21,56-100,13.863,6.463,0.0559,34.347
sim_pkg_0017,4,Sdd11,0-14,3.38,3.38,0.0765,12.054
sim_pkg_0017,4,Sdd11,14-28,3.913,3.913,0.097,10.097
sim_pkg_0017,4,Sdd11,28-56,8.131,8.131,0.1601,13.668
sim_pkg_0017,4,Sdd11,56-100,2.057,2.057,0.0439,6.436
sim_pkg_0017,4,Sdd21,0-14,0.985,0.985,0.0928,1.234
sim_pkg_0017,4,Sdd21,14-28,0.895,0.895,0.0537,1.285
sim_pkg_0017,4,Sdd21,28-56,2.632,2.423,0.0322,13.541
sim_pkg_0017,4,Sdd21,56-100,5.604,1.361,0.0138,15.442
sim_pkg_2871,1,Sdd11,0-14,16.095,10.961,0.1805,56.32
sim_pkg_2871,1,Sdd11,14-28,17.479,16.957,0.4032,29.642
sim_pkg_2871,1,Sdd11,28-56,4.442,4.442,0.2366,18.102
sim_pkg_2871,1,Sdd11,56-100,7.183,7.038,0.2983,32.977
sim_pkg_2871,1,Sdd21,0-14,0.767,0.767,0.0792,2.643
