sim,pair,trace,weighted_floored_dB
sim_pkg_0017,1,Sdd11,3.573
sim_pkg_0017,1,Sdd21,1.308
sim_pkg_0017,2,Sdd11,4.334
sim_pkg_0017,2,Sdd21,3.283
sim_pkg_0017,3,Sdd11,5.088
sim_pkg_0017,3,Sdd21,3.35
sim_pkg_0017,4,Sdd11,4.557
sim_pkg_0017,4,Sdd21,1.773
sim_pkg_2871,1,Sdd11,11.273
sim_pkg_2871,1,Sdd21,4.027
sim_pkg_2871,2,Sdd11,9.984
sim_pkg_2871,2,Sdd21,4.22
sim_pkg_2871,3,Sdd11,10.593
sim_pkg_2871,3,Sdd21,3.282
sim_pkg_2871,4,Sdd11,10.539
sim_pkg_2871,4,Sdd21,3.738
sim_pkg_2871,5,Sdd11,10.057
sim_pkg_2871,5,Sdd21,4.143
