freq_Hz,S11_dB,S21_dB
1.000000000000000000e+06,-3.318935854369949112e+01,1.619848516929802210e-02
5.374375000000000000e+06,-3.316917159760642875e+01,1.614097626024018836e-02
9.748750000000000000e+06,-3.312165745898801106e+01,1.600474171918612326e-02
1.412312500000000000e+07,-3.304771827815650909e+01,1.579028022176759069e-02
1.849750000000000000e+07,-3.294871279494309846e+01,1.549837609639889008e-02
2.287187500000000000e+07,-3.282637732397640207e+01,1.513009553092829751e-02
2.724625000000000000e+07,-3.268273213303152858e+01,1.468678142299603868e-02
3.162062500000000000e+07,-3.251998294208443951e+01,1.417004690540658689e-02
3.599500000000000000e+07,-3.234042627242949663e+01,1.358176758535835013e-02
4.036937500000000000e+07,-3.214636530831671735e+01,1.292407254426003634e-02
4.474375000000000000e+07,-3.194004041252950898e+01,1.219933415175257496e-02
4.911812500000000000e+07,-3.172357600777267095e+01,1.141015675415341102e-02
5.349250000000000000e+07,-3.149894356148741892e+01,1.055936430388725034e-02
5.786687500000000000e+07,-3.126793905120011985e+01,9.649987001816242096e-03
6.224125000000000000e+07,-3.103217253314081603e+01,8.685247029444074021e-03
6.661562500000000000e+07,-3.079306718037744872e+01,7.668543452253035256e-03
7.099000000000000000e+07,-3.055186525104543449e+01,6.603436379305729909e-03
7.536437500000000000e+07,-3.030963875019943288e+01,5.493630466857402778e-03
7.973875000000000000e+07,-3.006730294596469832e+01,4.342957856650727505e-03
8.411312500000000000e+07,-2.982563131225476383e+01,3.155360640719416174e-03
8.848750000000000000e+07,-2.958527084828514475e+01,1.934872945864495476e-03
9.286187500000000000e+07,-2.934675704590748069e+01,6.856027313442228117e-04
9.723625000000000000e+07,-2.911052803250945686e+01,-5.882866071171991094e-04
1.016106250000000000e+08,-2.887693761292016603e+01,-1.882594734470527387e-03
1.059850000000000000e+08,-2.864626707645832937e+01,-3.193102883692052005e-03
1.103593750000000000e+08,-2.841873573474141779e+01,-4.515592284182076005e-03
1.147337500000000000e+08,-2.819451022174682819e+01,-5.845862424575105389e-03
1.191081250000000000e+08,-2.797371262837601336e+01,-7.179749066004815355e-03
1.234825000000000000e+08,-2.775642756643053843e+01,-8.513141925327892545e-03
1.278568750000000000e+08,-2.754270826697342045e+01,-9.842001951146428507e-03
1.322312500000000000e+08,-2.733258181972022527e+01,-1.116237811958432913e-02
1.366056250000000000e+08,-2.712605365642530586e+01,-1.247042368079115046e-02
1.409800000000000000e+08,-2.692311137441249258e+01,-1.376241179153378513e-02
1.453543750000000000e+08,-2.672372798794341264e+01,-1.503475047382239575e-02
1.497287500000000000e+08,-2.652786468604512748e+01,-1.628399684406691555e-02
1.541031250000000000e+08,-2.633547316638098579e+01,-1.750687056205948999e-02
1.584775000000000000e+08,-2.614649760614492280e+01,-1.870026645388302849e-02
1.628518750000000000e+08,-2.596087632301176029e+01,-1.986126626751440888e-02
1.672262500000000000e+08,-2.577854317198726264e+01,-2.098714952476724016e-02
1.716006250000000000e+08,-2.559942871760265248e+01,-2.207540343793952531e-02
1.759750000000000000e+08,-2.542346121526453473e+01,-2.312373186401705388e-02
1.803493750000000000e+08,-2.525056743065928089e+01,-2.413006327402675288e-02
1.847237500000000000e+08,-2.508067332185328269e+01,-2.509255771941605595e-02
1.890981250000000000e+08,-2.491370460506555773e+01,-2.600961278170613872e-02
1.934725000000000000e+08,-2.474958722194145722e+01,-2.687986849577262208e-02
1.978468750000000000e+08,-2.458824772346704179e+01,-2.770221124118156866e-02
2.022212500000000000e+08,-2.442961358336944855e+01,-2.847577659980915499e-02
2.065956250000000000e+08,-2.427361345189400410e+01,-2.919995118169820686e-02
2.109700000000000000e+08,-2.412017735919160444e+01,-2.987437342468267365e-02
2.153443750000000000e+08,-2.396923687613757536e+01,-3.049893337663986403e-02
2.197187500000000000e+08,-2.382072523921255680e+01,-3.107377147255856870e-02
2.240931250000000000e+08,-2.367457744505828288e+01,-3.159927632162136402e-02
2.284675000000000000e+08,-2.353073031946802374e+01,-3.207608152260308515e-02
2.328418750000000000e+08,-2.338912256484075414e+01,-3.250506152854574365e-02
2.372162500000000000e+08,-2.324969478951553370e+01,-3.288732658454048691e-02
2.415906250000000000e+08,-2.311238952188038809e+01,-3.322421676500843246e-02
2.459650000000000000e+08,-2.297715121170940478e+01,-3.351729513931497872e-02
2.503393750000000000e+08,-2.284392622080823188e+01,-3.376834009698857775e-02
2.547137500000000000e+08,-2.271266280473258803e+01,-3.397933686621681243e-02
2.590881250000000000e+08,-2.258331108707583468e+01,-3.415246826132996294e-02
2.634625000000000000e+08,-2.245582302759711979e+01,-3.429010469732512306e-02
2.678368750000000000e+08,-2.233015238526734692e+01,-3.439479351141735280e-02
2.722112500000000000e+08,-2.220625467715063905e+01,-3.446924763370011469e-02
2.765856250000000000e+08,-2.208408713390007705e+01,-3.451633365086866079e-02
2.809600000000000000e+08,-2.196360865253122086e+01,-3.453905930886830289e-02
2.853343750000000000e+08,-2.184477974703846570e+01,-3.454056050209879103e-02
2.897087500000000000e+08,-2.172756249733709311e+01,-3.452408779843095521e-02
2.940831250000000000e+08,-2.161192049694267681e+01,-3.449299255115992335e-02
2.984575000000000000e+08,-2.149781879974221255e+01,-3.445071265022749130e-02
3.028318750000000000e+08,-2.138522386615998272e+01,-3.440075796678485065e-02
3.072062500000000000e+08,-2.127410350898006541e+01,-3.434669554630882110e-02
3.115806250000000000e+08,-2.116442683905234645e+01,-3.429213460673424113e-02
3.159550000000000000e+08,-2.105616421107843905e+01,-3.424071139925857071e-02
