rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,7,2.815,99.9,99.64,99.97,0.00167,0.019899,3.753,design_sample_1260_cc_e0.1_L1_ipc_r07.npz
2,8,2.629,99.85,99.56,99.95,0.001492,0.027673,4.069,design_sample_1260_cc_e0.1_L1_ipc_r08.npz
3,11,2.664,99.85,99.56,99.95,0.001711,0.023123,4.015,design_sample_1260_cc_e0.1_L1_ipc_r11.npz
4,0,2.687,99.8,99.49,99.92,0.001626,0.023482,3.975,design_sample_1260_cc_e0.1_L1_ipc_r00.npz
5,3,3.036,99.7,99.35,99.86,0.002138,0.019859,3.739,design_sample_1260_cc_e0.1_L1_ipc_r03.npz
6,9,2.667,99.5,99.08,99.73,0.001559,0.022821,3.956,design_sample_1260_cc_e0.1_L1_ipc_r09.npz
7,5,2.646,99.35,98.89,99.62,0.001647,0.041232,3.89,design_sample_1260_cc_e0.1_L1_ipc_r05.npz
8,6,2.524,99.3,98.83,99.58,0.001378,0.027137,4.141,design_sample_1260_cc_e0.1_L1_ipc_r06.npz
9,1,2.499,99.1,98.58,99.43,0.001268,0.028705,4.291,design_sample_1260_cc_e0.1_L1_ipc_r01.npz
10,4,2.499,99.05,98.52,99.39,0.001369,0.027614,4.137,design_sample_1260_cc_e0.1_L1_ipc_r04.npz
11,10,2.312,98.9,98.34,99.27,0.001102,0.034496,4.516,design_sample_1260_cc_e0.1_L1_ipc_r10.npz
12,2,2.447,98.65,98.04,99.07,0.001294,0.030352,4.03,design_sample_1260_cc_e0.1_L1_ipc_r02.npz
