rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,4.171,65.25,63.14,67.31,0.001474,0.058812,3.687,design_sample_1397_wc_L1_ipc_s0.5_r00.npz
2,1,3.903,47.6,45.42,49.79,0.000966,0.082997,1.613,design_sample_1397_wc_L1_ipc_s0.5_r01.npz
3,3,2.734,4.05,3.27,5.01,0.000842,0.032545,5.622,design_sample_1397_wc_L1_ipc_s0.5_r03.npz
4,2,2.709,0.05,0.01,0.28,0.000858,0.028497,2.506,design_sample_1397_wc_L1_ipc_s0.5_r02.npz
5,4,2.232,0.0,0.0,0.19,0.000705,0.021449,2.313,design_sample_1397_wc_L1_ipc_s0.5_r04.npz
6,5,3.46,0.0,0.0,0.19,0.005333,0.069729,4.398,design_sample_1397_wc_L1_ipc_s0.5_r05.npz
7,6,2.161,0.0,0.0,0.19,0.000901,0.020896,2.482,design_sample_1397_wc_L1_ipc_s0.5_r06.npz
8,7,2.545,0.0,0.0,0.19,0.000724,0.028021,2.99,design_sample_1397_wc_L1_ipc_s0.5_r07.npz
9,8,2.632,0.0,0.0,0.19,0.00091,0.027393,2.843,design_sample_1397_wc_L1_ipc_s0.5_r08.npz
10,9,2.432,0.0,0.0,0.19,0.000751,0.02382,2.1,design_sample_1397_wc_L1_ipc_s0.5_r09.npz
11,10,2.313,0.0,0.0,0.19,0.000979,0.02223,2.453,design_sample_1397_wc_L1_ipc_s0.5_r10.npz
12,11,2.71,0.0,0.0,0.19,0.000961,0.029996,3.247,design_sample_1397_wc_L1_ipc_s0.5_r11.npz
