rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,4.166,0.1,0.03,0.36,0.012283,0.09828,2.129,design_sample_2056_wc_L1_ipc_r00.npz
2,1,4.2,0.0,0.0,0.19,0.009242,0.084633,2.874,design_sample_2056_wc_L1_ipc_r01.npz
3,2,3.39,0.0,0.0,0.19,0.003451,0.047066,3.037,design_sample_2056_wc_L1_ipc_r02.npz
4,3,4.237,0.0,0.0,0.19,0.010016,0.091567,2.438,design_sample_2056_wc_L1_ipc_r03.npz
5,4,3.177,0.0,0.0,0.19,0.003181,0.039921,3.365,design_sample_2056_wc_L1_ipc_r04.npz
6,5,4.274,0.0,0.0,0.19,0.00713,0.051239,4.521,design_sample_2056_wc_L1_ipc_r05.npz
7,6,3.149,0.0,0.0,0.19,0.00335,0.040405,2.908,design_sample_2056_wc_L1_ipc_r06.npz
8,7,3.774,0.0,0.0,0.19,0.004187,0.071624,2.95,design_sample_2056_wc_L1_ipc_r07.npz
9,8,3.153,0.0,0.0,0.19,0.003444,0.041346,2.829,design_sample_2056_wc_L1_ipc_r08.npz
10,9,3.828,0.0,0.0,0.19,0.00409,0.071188,2.829,design_sample_2056_wc_L1_ipc_r09.npz
11,10,3.167,0.0,0.0,0.19,0.003226,0.040095,3.275,design_sample_2056_wc_L1_ipc_r10.npz
12,11,3.259,0.0,0.0,0.19,0.003291,0.042692,3.291,design_sample_2056_wc_L1_ipc_r11.npz
