rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,2,3.821,88.65,87.19,89.97,0.002851,0.119422,2.344,design_sample_9557_cc_e0.2_L0.1_ipc_r02.npz
2,0,1.763,87.8,86.29,89.16,0.003877,0.028667,3.089,design_sample_9557_cc_e0.2_L0.1_ipc_r00.npz
3,1,1.638,86.1,84.51,87.55,0.003928,0.026576,3.127,design_sample_9557_cc_e0.2_L0.1_ipc_r01.npz
4,9,1.754,85.75,84.15,87.21,0.003796,0.027964,3.01,design_sample_9557_cc_e0.2_L0.1_ipc_r09.npz
5,3,1.627,84.8,83.16,86.31,0.004055,0.02686,3.202,design_sample_9557_cc_e0.2_L0.1_ipc_r03.npz
6,10,2.846,84.45,82.8,85.97,0.003658,0.063759,2.691,design_sample_9557_cc_e0.2_L0.1_ipc_r10.npz
7,11,1.663,84.35,82.69,85.88,0.003866,0.026801,3.106,design_sample_9557_cc_e0.2_L0.1_ipc_r11.npz
8,5,1.643,83.5,81.81,85.06,0.003928,0.026259,3.175,design_sample_9557_cc_e0.2_L0.1_ipc_r05.npz
9,7,1.731,83.45,81.76,85.01,0.003724,0.026837,2.938,design_sample_9557_cc_e0.2_L0.1_ipc_r07.npz
10,8,1.982,81.25,79.48,82.9,0.004241,0.023653,3.279,design_sample_9557_cc_e0.2_L0.1_ipc_r08.npz
11,4,1.793,79.6,77.78,81.31,0.003677,0.027852,2.788,design_sample_9557_cc_e0.2_L0.1_ipc_r04.npz
12,6,1.808,79.05,77.21,80.78,0.003619,0.02743,2.785,design_sample_9557_cc_e0.2_L0.1_ipc_r06.npz
