rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,1,3.141,73.0,71.01,74.9,0.034049,0.050518,2.575,design_sample_9678_wc_L1_ipc_s2_r01.npz
2,10,3.685,68.6,66.53,70.6,0.05088,0.060298,2.396,design_sample_9678_wc_L1_ipc_s2_r10.npz
3,3,3.112,67.55,65.47,69.57,0.037739,0.019884,1.989,design_sample_9678_wc_L1_ipc_s2_r03.npz
4,4,3.164,66.3,64.2,68.34,0.039226,0.027348,2.805,design_sample_9678_wc_L1_ipc_s2_r04.npz
5,9,3.573,66.0,63.89,68.04,0.041403,0.083038,2.189,design_sample_9678_wc_L1_ipc_s2_r09.npz
6,2,3.756,65.25,63.14,67.31,0.044378,0.090004,2.308,design_sample_9678_wc_L1_ipc_s2_r02.npz
7,0,3.204,64.4,62.28,66.47,0.045089,0.030627,2.336,design_sample_9678_wc_L1_ipc_s2_r00.npz
8,8,3.857,63.45,61.32,65.53,0.048185,0.084348,2.372,design_sample_9678_wc_L1_ipc_s2_r08.npz
9,11,3.746,61.65,59.5,63.76,0.039718,0.107548,2.685,design_sample_9678_wc_L1_ipc_s2_r11.npz
10,7,2.727,60.5,58.34,62.62,0.036252,0.036177,2.509,design_sample_9678_wc_L1_ipc_s2_r07.npz
11,6,3.855,49.85,47.66,52.04,0.060377,0.130542,2.336,design_sample_9678_wc_L1_ipc_s2_r06.npz
12,5,3.602,34.55,32.5,36.66,0.047824,0.09835,2.009,design_sample_9678_wc_L1_ipc_s2_r05.npz
