rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,8,0.675,45.15,42.98,47.34,0.054914,0.008025,1.537,design_sample_0_yield_L0.1_r08.npz
2,7,0.674,43.8,41.64,45.98,0.05492,0.008025,1.537,design_sample_0_yield_L0.1_r07.npz
3,4,0.675,43.55,41.39,45.73,0.054918,0.008025,1.537,design_sample_0_yield_L0.1_r04.npz
4,0,0.675,43.4,41.24,45.58,0.054973,0.008027,1.537,design_sample_0_yield_L0.1_r00.npz
5,1,0.673,42.9,40.75,45.08,0.054492,0.00802,1.527,design_sample_0_yield_L0.1_r01.npz
6,3,0.675,42.9,40.75,45.08,0.05501,0.008025,1.536,design_sample_0_yield_L0.1_r03.npz
7,2,0.674,42.5,40.35,44.68,0.054957,0.008025,1.537,design_sample_0_yield_L0.1_r02.npz
8,5,2.785,0.0,0.0,0.19,0.022394,0.099335,1.393,design_sample_0_yield_L0.1_r05.npz
9,6,2.785,0.0,0.0,0.19,0.022399,0.099327,1.393,design_sample_0_yield_L0.1_r06.npz
10,9,2.784,0.0,0.0,0.19,0.022381,0.099339,1.393,design_sample_0_yield_L0.1_r09.npz
11,10,2.785,0.0,0.0,0.19,0.022368,0.099331,1.393,design_sample_0_yield_L0.1_r10.npz
12,11,2.784,0.0,0.0,0.19,0.022373,0.099336,1.393,design_sample_0_yield_L0.1_r11.npz
