rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,6,2.757,99.05,98.52,99.39,0.055938,0.088659,2.363,design_sample_10501_wc_L1_ipc_r06.npz
2,11,2.09,97.8,97.06,98.36,0.049746,0.03096,1.694,design_sample_10501_wc_L1_ipc_r11.npz
3,10,1.116,91.0,89.67,92.18,0.037571,0.021668,1.629,design_sample_10501_wc_L1_ipc_r10.npz
4,2,1.49,88.95,87.5,90.25,0.044663,0.01691,1.369,design_sample_10501_wc_L1_ipc_r02.npz
5,8,1.344,82.1,80.36,83.72,0.039336,0.018645,1.291,design_sample_10501_wc_L1_ipc_r08.npz
6,9,0.983,80.7,78.91,82.37,0.034454,0.017434,1.631,design_sample_10501_wc_L1_ipc_r09.npz
7,5,1.093,75.4,73.46,77.24,0.043925,0.018842,1.512,design_sample_10501_wc_L1_ipc_r05.npz
8,3,0.978,72.55,70.55,74.46,0.040745,0.018911,1.572,design_sample_10501_wc_L1_ipc_r03.npz
9,7,0.997,71.85,69.84,73.78,0.037758,0.017661,1.591,design_sample_10501_wc_L1_ipc_r07.npz
10,1,1.15,66.8,64.71,68.83,0.043634,0.014087,1.267,design_sample_10501_wc_L1_ipc_r01.npz
11,0,1.152,64.85,62.73,66.91,0.043752,0.014027,1.264,design_sample_10501_wc_L1_ipc_r00.npz
12,4,1.16,64.7,62.58,66.76,0.04293,0.014577,1.289,design_sample_10501_wc_L1_ipc_r04.npz
