rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,10,2.056,95.9,94.94,96.68,0.001403,0.051843,3.912,design_sample_1260_cc_e0.3_L1_ipc_r10.npz
2,2,1.918,94.3,93.2,95.23,0.001823,0.028434,3.345,design_sample_1260_cc_e0.3_L1_ipc_r02.npz
3,3,2.167,93.7,92.55,94.68,0.002748,0.016177,2.791,design_sample_1260_cc_e0.3_L1_ipc_r03.npz
4,9,1.888,93.2,92.01,94.22,0.002043,0.018349,3.146,design_sample_1260_cc_e0.3_L1_ipc_r09.npz
5,0,1.874,92.95,91.74,93.99,0.001906,0.018813,3.236,design_sample_1260_cc_e0.3_L1_ipc_r00.npz
6,7,1.885,92.85,91.64,93.9,0.001991,0.017748,3.116,design_sample_1260_cc_e0.3_L1_ipc_r07.npz
7,11,1.945,92.2,90.94,93.3,0.002208,0.016616,3.156,design_sample_1260_cc_e0.3_L1_ipc_r11.npz
8,5,1.958,92.0,90.73,93.11,0.002256,0.029576,2.852,design_sample_1260_cc_e0.3_L1_ipc_r05.npz
9,8,1.832,91.85,90.57,92.97,0.001967,0.019339,3.303,design_sample_1260_cc_e0.3_L1_ipc_r08.npz
10,6,1.755,91.05,89.72,92.22,0.001726,0.021164,3.415,design_sample_1260_cc_e0.3_L1_ipc_r06.npz
11,1,1.806,89.3,87.87,90.58,0.001932,0.021183,3.35,design_sample_1260_cc_e0.3_L1_ipc_r01.npz
12,4,1.731,88.75,87.29,90.06,0.001756,0.020887,3.39,design_sample_1260_cc_e0.3_L1_ipc_r04.npz
