rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,5.401,74.15,72.19,76.02,0.022609,0.089955,3.425,design_sample_1397_wc_L1_ipc_s2_r00.npz
2,1,4.13,37.4,35.31,39.54,0.011803,0.086948,1.64,design_sample_1397_wc_L1_ipc_s2_r01.npz
3,3,2.998,27.3,25.39,29.29,0.012247,0.036631,5.092,design_sample_1397_wc_L1_ipc_s2_r03.npz
4,7,3.12,24.55,22.71,26.48,0.011705,0.03679,4.142,design_sample_1397_wc_L1_ipc_s2_r07.npz
5,2,3.211,20.7,18.98,22.53,0.013049,0.037593,2.557,design_sample_1397_wc_L1_ipc_s2_r02.npz
6,10,2.367,0.5,0.27,0.92,0.008516,0.024654,2.115,design_sample_1397_wc_L1_ipc_s2_r10.npz
7,11,2.53,0.5,0.27,0.92,0.008759,0.027122,1.546,design_sample_1397_wc_L1_ipc_s2_r11.npz
8,9,3.092,0.45,0.24,0.85,0.011315,0.037447,2.021,design_sample_1397_wc_L1_ipc_s2_r09.npz
9,8,3.068,0.15,0.05,0.44,0.012271,0.035753,2.683,design_sample_1397_wc_L1_ipc_s2_r08.npz
10,4,2.885,0.05,0.01,0.28,0.010422,0.036354,2.835,design_sample_1397_wc_L1_ipc_s2_r04.npz
11,5,2.929,0.0,0.0,0.19,0.033053,0.05886,2.984,design_sample_1397_wc_L1_ipc_s2_r05.npz
12,6,2.202,0.0,0.0,0.19,0.010117,0.021101,2.583,design_sample_1397_wc_L1_ipc_s2_r06.npz
