rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,0.841,99.9,99.64,99.97,0.002483,0.005077,1.307,design_sample_2879_var_L0_ipc_r00.npz
2,3,0.841,99.85,99.56,99.95,0.002495,0.005077,1.307,design_sample_2879_var_L0_ipc_r03.npz
3,8,0.841,99.85,99.56,99.95,0.002491,0.005077,1.307,design_sample_2879_var_L0_ipc_r08.npz
4,10,0.841,99.75,99.42,99.89,0.002482,0.005078,1.307,design_sample_2879_var_L0_ipc_r10.npz
5,7,0.841,99.7,99.35,99.86,0.002481,0.005077,1.307,design_sample_2879_var_L0_ipc_r07.npz
6,9,0.841,99.7,99.35,99.86,0.002499,0.005077,1.307,design_sample_2879_var_L0_ipc_r09.npz
7,11,0.841,99.7,99.35,99.86,0.002489,0.005077,1.307,design_sample_2879_var_L0_ipc_r11.npz
8,1,0.84,99.6,99.21,99.8,0.002496,0.005077,1.307,design_sample_2879_var_L0_ipc_r01.npz
9,4,0.841,99.55,99.15,99.76,0.002489,0.005077,1.307,design_sample_2879_var_L0_ipc_r04.npz
10,2,0.841,99.5,99.08,99.73,0.002499,0.005078,1.307,design_sample_2879_var_L0_ipc_r02.npz
11,5,3.036,0.0,0.0,0.19,0.000824,0.068272,1.382,design_sample_2879_var_L0_ipc_r05.npz
12,6,3.194,0.0,0.0,0.19,0.000935,0.070903,1.078,design_sample_2879_var_L0_ipc_r06.npz
