rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,1.494,82.45,80.72,84.05,0.003832,0.022688,2.839,design_sample_9557_cc_e0.3_L0.1_ipc_r00.npz
2,9,1.476,80.4,78.6,82.08,0.003843,0.021884,2.8,design_sample_9557_cc_e0.3_L0.1_ipc_r09.npz
3,3,1.474,80.25,78.45,81.94,0.003853,0.021907,2.905,design_sample_9557_cc_e0.3_L0.1_ipc_r03.npz
4,1,1.461,79.15,77.31,80.87,0.003791,0.020866,2.894,design_sample_9557_cc_e0.3_L0.1_ipc_r01.npz
5,11,1.476,79.15,77.31,80.87,0.003825,0.021653,2.851,design_sample_9557_cc_e0.3_L0.1_ipc_r11.npz
6,5,1.489,79.1,77.26,80.83,0.003844,0.02168,2.918,design_sample_9557_cc_e0.3_L0.1_ipc_r05.npz
7,8,1.784,78.7,76.85,80.44,0.004175,0.021685,2.97,design_sample_9557_cc_e0.3_L0.1_ipc_r08.npz
8,10,1.49,78.7,76.85,80.44,0.003947,0.022008,2.886,design_sample_9557_cc_e0.3_L0.1_ipc_r10.npz
9,7,1.487,76.25,74.34,78.06,0.003784,0.020706,2.765,design_sample_9557_cc_e0.3_L0.1_ipc_r07.npz
10,2,1.569,75.3,73.36,77.14,0.003678,0.023741,2.533,design_sample_9557_cc_e0.3_L0.1_ipc_r02.npz
11,4,1.477,75.25,73.31,77.09,0.003743,0.021869,2.624,design_sample_9557_cc_e0.3_L0.1_ipc_r04.npz
12,6,1.491,75.25,73.31,77.09,0.003681,0.021894,2.571,design_sample_9557_cc_e0.3_L0.1_ipc_r06.npz
